id. Response ID,submitdate. Date submitted,lastpage. Last page,startlanguage. Start language,seed. Seed,startdate. Date started,datestamp. Date last action,G01Q01. Country of your current job/study,G01Q02. Your area of research,G01Q02[other]. Your area of research [Other],"G01Q021. What is your main topic (e.g. language, vision, decision making, diagnostics, passive/active BCI, etc.)?",G01Q03. What is your current occupation?,G01Q03[other]. What is your current occupation? [Other],G01Q04[SQ001]. What kind of data obtained by these measurement technique(s) have you used for analysis in your current or past research? [Scalp EEG],G01Q04[SQ002]. What kind of data obtained by these measurement technique(s) have you used for analysis in your current or past research? [Intracranial EEG],G01Q04[SQ003]. What kind of data obtained by these measurement technique(s) have you used for analysis in your current or past research? [MEG using SQUIDs],G01Q04[SQ004]. What kind of data obtained by these measurement technique(s) have you used for analysis in your current or past research? [MEG using OPMs],G01Q04[SQ005]. What kind of data obtained by these measurement technique(s) have you used for analysis in your current or past research? [Not analysed any of them],"G01Q07. How many published papers/preprints do you have, where you used EEG, MEG or iEEG analysis?","G01Q06. How many years of experience with EEG, MEG, or iEEG analysis do you have?","G01Q08. What is your self-assessed level of experience with EEG, MEG, or iEEG analysis?","G01Q09. Have you ever publicly shared code/software for EEG, MEG or iEEG analysis methods, or contributed to code managed by others?",G01Q10. How many channels do you typically measure?,"G01Q11. How many channels of those you measured do you typically analyse, after selection of task-relevant channels?","G02Q01[SQ001]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [ASA]","G02Q01[SQ002]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [BESA]","G02Q01[SQ003]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Brainstorm]","G02Q01[SQ004]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Brain Vision Analyser]","G02Q01[SQ005]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Cartool]","G02Q01[SQ006]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Curry]","G02Q01[SQ007]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [EEGLAB]","G02Q01[SQ020]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [EEGKit]","G02Q01[SQ010]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [EEProbe]","G02Q01[SQ022]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [EEGUtils]","G02Q01[SQ009]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [ERPLAB]","G02Q01[SQ011]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [EGI Net Station]","G02Q01[SQ029]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [ephyviewer]","G02Q01[SQ012]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [ERPsystem]","G02Q01[SQ026]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [eVox]","G02Q01[SQ014]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [InstEP]","G02Q01[SQ013]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [FieldTrip]","G02Q01[SQ023]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [fitgrid]","G02Q01[SQ008]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [LIMO]","G02Q01[SQ028]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [MMVT]","G02Q01[SQ019]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [mnelab]","G02Q01[SQ015]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [MNE-Python]","G02Q01[SQ016]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Scan]","G02Q01[SQ017]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [SPM ]","G02Q01[SQ018]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Unfold]","G02Q01[SQ027]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Custom scripts]","G02Q01[other]. Which EEG, MEG, or iEEG analysis platform have you used for ERP plotting? [Other]","G02Q02[SQ001]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Combine with a custom plot created outside of the toolbox (as subplot or inset)]","G02Q02[SQ002]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Flexible tweaking of plot attributes (colors, linewidths, margins etc.)]","G02Q02[SQ003]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Speed of plotting]","G02Q02[SQ004]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Presentation/publication ready figures]","G02Q02[SQ005]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Reproducibility of interactively generated or modified plots]","G02Q02[SQ006]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Zooming or panning within a plot]","G02Q02[SQ007]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Interactive selection of time-ranges or electrodes e.g. via Sliders or Dropdown menus]","G02Q02[SQ008]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Generating plots by clicking (GUI)]","G02Q02[SQ009]. When using an EEG, MEG, or iEEG visualization tool which features are important to you? [Generating plots by coding]",G02Q04[SQ001].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ002].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ003].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ004].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ005].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ006].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ007].  Select the ERP visualizations that you are familiar with     [],G02Q04[SQ008].  Select the ERP visualizations that you are familiar with     [],G03Q11. How would you call this plot?,G03Q12. Have you ever plotted this kind of figure?,"G03Q13[SQ003].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q13[SQ001].  [Which parts of the plot were difficult to do?],G03Q13[SQ002].     [What new features would you like to add to this analysis tool?],G03Q14. Think about your last published ERP paper/preprint/poster with this type of plot. Did this plot have error bars?,G03Q15. What did the error bars depict in your figure?,G03Q15[other]. What did the error bars depict in your figure? [Other],G03Q16. Think about the baseline period (the time before the stimulus onset). How many milliseconds would you recommend to plot?,"G03Q18. If you don't want to provide a number on previous question, please, provide a justification.","G03Q17. In this plot, should positive voltages be plotted upwards, or downwards?",G03Q21. How would you call this plot?,G03Q22. Have you ever plotted this kind of figure?,"G03Q23[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q23[SQ002].  [Which parts of the plot were difficult to do?],G03Q23[SQ003].     [What new features would you like to add to this analysis tool?],G03Q31. How would you call this plot?,G03Q32. Have you ever plotted this kind of figure?,"G03Q33[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q33[SQ002].  [Which parts of the plot were difficult to do?],G03Q33[SQ003].     [What new features would you like to add to this analysis tool?],G03Q41. How would you call this plot?,G03Q42. Have you ever plotted this kind of figure?,"G03Q43[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q43[SQ002].  [Which parts of the plot were difficult to do?],G03Q43[SQ003].     [What new features would you like to add to this analysis tool?],"G03Q44. If you see such a plot, do you think the values depicted show:","G03Q44[other]. If you see such a plot, do you think the values depicted show: [Other]",G03Q51. How would you call this plot?,G03Q52. Have you ever plotted this kind of figure?,"G03Q53[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q53[SQ002].  [Which parts of the plot were difficult to do?],G03Q53[SQ003].     [What new features would you like to add to this analysis tool?],G03Q61. How would you call this plot?,G03Q62. Have you ever plotted this kind of figure?,"G01Q63[SQ001].     [Which plotting tool (EEGLab, Fieldtrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G01Q63[SQ002].  [Which parts of the plot were difficult to do?],G01Q63[SQ003].     [What new features would you like to add to this analysis tool?],G03Q71. How would you call this plot?,G03Q72. Have you ever plotted this kind of figure?,"G03Q73[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q73[SQ002].  [Which parts of the plot were difficult to do?],G03Q73[SQ003].     [What new features would you like to add to this analysis tool?],G03Q81. How would you call this plot?,G03Q82. Have you ever plotted this kind of figure?,"G03Q83[SQ001].     [Which plotting tool (EEGLab, FieldTrip, etc) or custom script (matplotlib, ggplot, Makie, etc) did you use?]",G03Q83[SQ002].  [Which parts of the plot were difficult to do?],G03Q83[SQ003].     [What new features would you like to add to this analysis tool?],G03Q91. Are you aware of the perceptual controversies of the jet (rainbow) colorbar?  Example:,G03Q92. Do you know about two-dimensional colorbars?  Example:,"G03Q93. Would you like to use a two-dimensional colorbar in your publications, if it was easily available?","G12Q46. If you have any comments or suggestions on how to improve ERP plotting tools, in general or on this survey, you are highly encouraged to fill in this section.",interviewtime. Total time,groupTime118. Group time: Basic information,G01Q01Time. Question time: G01Q01,G01Q02Time. Question time: G01Q02,G01Q021Time. Question time: G01Q021,G01Q03Time. Question time: G01Q03,G01Q04Time. Question time: G01Q04,G01Q07Time. Question time: G01Q07,G01Q06Time. Question time: G01Q06,G01Q08Time. Question time: G01Q08,G01Q09Time. Question time: G01Q09,G01Q10Time. Question time: G01Q10,G01Q11Time. Question time: G01Q11,groupTime119. Group time: Plotting experience,G02Q01Time. Question time: G02Q01,G02Q02Time. Question time: G02Q02,G02Q04Time. Question time: G02Q04,groupTime121. Group time: Your acquaintance with plot 1,G03Q11Time. Question time: G03Q11,G03Q12Time. Question time: G03Q12,G03Q13Time. Question time: G03Q13,G03Q14Time. Question time: G03Q14,G03Q15Time. Question time: G03Q15,G03Q16Time. Question time: G03Q16,G03Q18Time. Question time: G03Q18,G03Q17Time. Question time: G03Q17,groupTime122. Group time: Your acquaintance with plot 2,G03Q21Time. Question time: G03Q21,G03Q22Time. Question time: G03Q22,G03Q23Time. Question time: G03Q23,groupTime123. Group time: Your acquaintance with plot 3,G03Q31Time. Question time: G03Q31,G03Q32Time. Question time: G03Q32,G03Q33Time. Question time: G03Q33,groupTime124. Group time: Your acquaintance with plot 4,G03Q41Time. Question time: G03Q41,G03Q42Time. Question time: G03Q42,G03Q43Time. Question time: G03Q43,G03Q44Time. Question time: G03Q44,groupTime125. Group time: Your acquaintance with plot 5,G03Q51Time. Question time: G03Q51,G03Q52Time. Question time: G03Q52,G03Q53Time. Question time: G03Q53,groupTime126. Group time: Your acquaintance with plot 6,G03Q61Time. Question time: G03Q61,G03Q62Time. Question time: G03Q62,G01Q63Time. Question time: G01Q63,groupTime127. Group time: Your acquaintance with plot 7,G03Q71Time. Question time: G03Q71,G03Q72Time. Question time: G03Q72,G03Q73Time. Question time: G03Q73,groupTime128. Group time: Your acquaintance with plot 8,G03Q81Time. Question time: G03Q81,G03Q82Time. Question time: G03Q82,G03Q83Time. Question time: G03Q83,groupTime120. Group time: Plotting 2,G03Q91Time. Question time: G03Q91,G03Q92Time. Question time: G03Q92,G03Q93Time. Question time: G03Q93,groupTime129. Group time: Feedback,G12Q46Time. Question time: G12Q46
2,2023-02-09 15:38:44,12,en,730155234,2023-02-09 15:30:13,2023-02-09 15:38:44,Germany,"Fundamental (neuro, cognitive)",,Neurological disorders and cognition,Doctoral researcher,,Yes,No,No,No,No,3,6,Intermediate,No,64,24,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,Low importance,Very important,Not at all important,Very important,Very important,Important,Low importance,Not at all important,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Trial average ERP per condition,Yes,custom MatLab,-,Window for statistics,Yes,Confidence intervals,,200,,Up,Butterfly,Yes,MatLab custom,colors,overlaying average,topography,Yes,"EEGLab, fieldtrip",Labeling,contour selection,time window average topoplot,Yes,EEGLab,-,dynamic time windowing,"The mean value of time bin, centered around the labelled time (average over multiple time points)",,I dont know,Yes,FieldTrip,Scaling,Size of ERPs,?,Yes,MatLab custom,"""smoothing"" between trials",Kernel convolution,,N/A,,,,?,No,,,,Yes,Yes,Yes,,513.02,59.72,,,,,,,,,,,,67.46,,,,113.53,,,,,,,,,29.95,,,,42.97,,,,65.69,,,,,38.68,,,,66.16,,,,,,,,8.63,,,,15.75,,,,4.48,
5,2023-02-09 19:12:54,12,en,959921361,2023-02-09 19:02:41,2023-02-09 19:12:54,Germany,"Fundamental (neuro, cognitive)",,Time perception,Doctoral researcher,,Yes,No,No,No,No,2,2,Intermediate,Yes,64,6,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,R,Low importance,Very important,Important,Very important,Very important,Neutral,Important,Neutral,Very important,Yes,Yes,No,Yes,No,No,No,No,Averaged ERP waveform,Yes,Ggplot,-,-,No,,,200,,Up,Single ERPs,No,,,,,N/A,,,,Topoplots,No,,,,"The mean value of time bin, centered around the labelled time (average over multiple time points)",,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,No,Yes,Maybe,,612.08,98.81,,,,,,,,,,,,185.48,,,,156.12,,,,,,,,,64.5,,,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,31.08,,,,6.29,
6,2023-02-09 22:57:54,12,en,815085128,2023-02-09 22:46:38,2023-02-09 22:57:54,United Kingdom,"Fundamental (neuro, cognitive)",,Predictive processing perception,Postdoctoral researcher,,Yes,No,No,No,No,4,6,Intermediate,Yes,32,6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,,Not applicable,Very important,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,No,ERP waveform,Yes,Custom matlab scripts,Shaded error area,None,Yes,Standart error of the mean,,200,Minimum 200ms for ERPs and theta or beta power,Down,Butterfly plot,Yes,Fieldtrip,NA,NA,Topoplot,Yes,Fieldtrip,NA,NA,Topoplot with time window subplots,Yes,Fieldtrip,NA,NA,Other,"I'd assume it's the mean value starting at the time point shown, upto the time point to the right",Not sure,Yes,Fieldtrip,NA,NA,Not sure,Yes,Fieldtrip,NA,NA,,N/A,,,,,N/A,,,,Yes,Yes,Yes,,677.94,131.09,,,,,,,,,,,,80.53,,,,105.06,,,,,,,,,32.75,,,,20.71,,,,171.44,,,,,20.4,,,,27.64,,,,,,,,,,,,79.95,,,,8.37,
8,2023-02-10 12:31:02,12,en,1549511966,2023-02-10 12:13:42,2023-02-10 12:31:02,Germany,"Fundamental (neuro, cognitive)",,decision making,Postdoctoral researcher,,Yes,No,No,No,No,3,5,Expert,Yes,64,64,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Very important,Very important,Neutral,Important,Very important,Neutral,Neutral,Not at all important,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Timedomain ERP amplitude plot,Yes,"MNE-Python, Seaborn, Matplotlib",None,None,Yes,Other,"68% CI, which is close to SEM under normality",200,,Up,butterfly plot,Yes,mne-python,none,none,topoplot,Yes,mne-python,"getting the right template positions for electrodes, getting a good interpolation",none,topoplot over time,Yes,mne-python,"selecting a window to average over time for each topoplot in the sequence, and in Python: getting the subplots for a figure right --> especially with a colorbar",make it easier to control subplots and a colorbar,"The mean value of time bin, centered around the labelled time (average over multiple time points)",,topomap,Yes,mne-python,getting the overall amplitude scaling right,none,image of voltage over time by trials,No,,,,,N/A,,,,image of voltage over time by channels,Yes,matplotlib,getting the ordering of channels on the y axis right,none,Yes,Yes,Yes,,1043.94,87.1,,,,,,,,,,,,86.69,,,,160.23,,,,,,,,,25.49,,,,73.92,,,,125.78,,,,,344.51,,,,54.7,,,,,,,,66.16,,,,15.81,,,,3.55,
10,2023-02-10 12:17:13,12,en,339289433,2023-02-10 12:15:52,2023-02-10 12:17:13,United Kingdom,Clinical,,english,Master student,,Yes,Yes,No,Yes,No,3,10,Expert,Yes,3,2,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Very important,Important,Very important,Very important,Very important,Very important,Important,Important,Important,No,No,No,No,No,No,No,No,,N/A,,,,,,,,,,,N/A,,,,,N/A,,,,,N/A,,,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,No,No,,,81.15,55.01,,,,,,,,,,,,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,,,,3.04,
11,2023-02-10 12:29:32,12,en,1868141519,2023-02-10 12:17:08,2023-02-10 12:29:32,United Kingdom,"Fundamental (neuro, cognitive)",,decision making,Postdoctoral researcher,,Yes,No,Yes,No,No,11,12,Expert,Yes,300,300,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Very important,Very important,Low importance,Neutral,Very important,Neutral,Low importance,Not at all important,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Conditional ERP plot with error bars,Yes,matlab custom code,specifying the shaded portion (with 'patch' in matlab),"I'd like an easy way to specify multiple options for the errorbar (e.g., confidence interval, standard error of mean, standard error of difference, etc)",No,,,500,,Up,Butterfly plot,No,,,,Topoplot,Yes,"fieldtrip ft_topoplotXXX functions
custom matlab code to modify","select nice colormap (perceptually uniform, variant-colour-vision friendly)
control interpolation in a way that is not misleading (e.g., the layout here doesn't go anywhere near the edge of the circle... those gigantic blue patches are not near any channel!)
plot onto a head that looks like a head","plot onto a head that looks like a head (or at least illustrates the z-plane better)
flexible colormaps
control over interpolation",topoplot series,Yes,see comments for topoplot,see comments for topoplot,see comments for topoplot,"The mean value of time bin, centered around the labelled time (average over multiple time points)",,multiplot,Yes,fieldtrip ft_multiplotER,none,none,stacked single-trial plot,Yes,custom matlab code,"handling smoothing/interpolation over trials (does it make sense to do it at all, as shown here? or not, because the trials are independent?)",don't know,,N/A,,,,stacked single-electrode plot,Yes,custom matlab code,none,none - I don't actually like this as a data visualisation,Yes,Yes,Yes,"Not only 2-d, but also CIRCULAR colorbars please
They are essential to visualise ERPs as a function of any measure that is itself circular (e.g., the evoked response to a grating at different angles from 0' to 360')",745.24,116.34,,,,,,,,,,,,78.13,,,,138.9,,,,,,,,,10.11,,,,167.29,,,,30.84,,,,,22.99,,,,66.38,,,,,,,,29.74,,,,15.99,,,,68.53,
17,2023-02-10 13:27:29,12,en,783491633,2023-02-10 13:05:05,2023-02-10 13:27:29,Belgium,"Fundamental (neuro, cognitive)",,computational neuroscience,Professor,,Yes,Yes,No,No,No,39,20,Expert,Yes,64,64,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,,Very important,Very important,Neutral,Important,Very important,Important,Important,Neutral,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,averaged ERPs with dispersion,Yes,custom with matlab,none,not sure. other plots (spaghetti) are more informative. if you think of modification to average+dispersion then it's ok,No,,,500,depends on the design of course,Up,butterfly plot,Yes,"EEGLab, and code from Mike Cohen's book",none,"graying out all channels except the one hovered on, visualizing dispersion only for the one hovered on",scalp activity (or statistical) plot,Yes,"EEGLAB, Fieldtrip, Brainstorm",none,Visualize time series for an electrode hovered on,time-resolved scalp activity (stats) plot,Yes,eeglab,none,pop out time series with dispersion (or spectra) when hovering,The instantaneous time slices (single time points),,ERP topographic grid plot,Yes,EEGLAB,none,"zoom in each plot, adding features such as dispersion, all trials, etc",sorted trials ERP plot,No,,,,,N/A,,,,carpet plot of the average ERP across channels,No,,,,Yes,Yes,Yes,,1346.33,569.06,,,,,,,,,,,,83.08,,,,159.79,,,,,,,,,230.07,,,,78.17,,,,76.16,,,,,55.17,,,,31.68,,,,,,,,22.68,,,,23.58,,,,16.89,
18,2023-02-10 13:26:27,12,en,1410463709,2023-02-10 13:14:58,2023-02-10 13:26:27,Germany,"Fundamental (neuro, cognitive)",,language,Doctoral researcher,,Yes,No,No,No,No,4,6,Intermediate,Yes,32,19,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,Neutral,Very important,Important,Very important,Neutral,Low importance,Very important,Not at all important,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Timecourse of the ERP for two conditions,No,,,,,,,,,Up,Butterfly plot of ERP timecourse across scalp electrodes,Yes,fieldtrip,choosing a sensible color coding of the channels (according to electrode position is nice but could be adapted to also reflect strength of the effect),,Topoplot,Yes,fieldtrip,,automatic selection of a symmetric color scale,topoplot of ERP timecourse,Yes,fieldtrip,selection of good timewindows/correct timepoints,,The instantaneous time slices (single time points),,channel-layout ERPs,Yes,fieldtrip,,"add an ""empty"" coordinate system that lets you see the values on the axes well",Heatmap of ERP latency across trials,No,,,,,N/A,,,,Heatmap of ERP latencies across electrodes,Yes,custom scripts in matlab,,,Yes,Yes,Yes,,691.33,72.97,,,,,,,,,,,,96.9,,,,48.95,,,,,,,,,116.45,,,,44.14,,,,87.41,,,,,112.46,,,,40.55,,,,,,,,39.53,,,,28.89,,,,3.08,
20,2023-02-10 13:59:13,12,en,1200447949,2023-02-10 13:27:32,2023-02-10 13:59:13,Germany,"Fundamental (neuro, cognitive)",,Spatial cognition,Professor,,Yes,No,No,No,No,80,25,Expert,Yes,64,10,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Very important,Very important,Low importance,Very important,Very important,Important,Important,Neutral,Very important,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,ERP average comparison with variance measures,Yes,"- color selection for overlay visibility
- plotting more than 2 or 3 conditions
- Matlab scripts",-,Significance indication,Yes,Other,Sd,200,,Up,Bitterfly,Yes,EEGLAB,-,-,Scalp map,Yes,EEGALB,Plotting custom values eg differences or p-values etc,Provide a variabl range of values to plot,Scalp map time series,Yes,EEGLAB,-,Add optional feature selection to plot,The instantaneous time slices (single time points),,topographic ERP,Yes,EEGLAB,Adjusting layout,"Layout adjustment
Size variations",ERPImage,Yes,EEGLAB,Adding additional time sorting variables,-,,N/A,,,,ERP color coded,No,,,,Yes,Yes,Yes,,1008.71,139.04,,,,,,,,,,,,144.63,,,,246.63,,,,,,,,,42.13,,,,85.61,,,,77.44,,,,,80.42,,,,70.62,,,,,,,,80.14,,,,35.59,,,,6.46,
23,2023-02-10 14:35:42,12,en,1268493356,2023-02-10 14:21:20,2023-02-10 14:35:42,Germany,"Fundamental (neuro, cognitive)",,Language,Postdoctoral researcher,,Yes,No,No,No,No,3,6,Intermediate,Yes,64,62,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,,Very important,Very important,Neutral,Important,Important,Neutral,Important,Low importance,Important,Yes,No,Yes,Yes,Yes,No,No,No,ERP Plot or waveform graph,Yes,"EEGLAB, FieldTrip, Custom","Organizing multiple ERP plots into a single figure, while still being visually pleasing",Be able to select multiple channels/electrodes to be combined into a figure that is closer to publication ready,No,,,200,,Up,,N/A,,,,heat map,Yes,EEGLab or Custom,none,none,heat map over time window,Yes,FieldTrip,none,none,The instantaneous time slices (single time points),,Difference wave ERP plot across scalp,Yes,EEGLab or custom,keeping the figure legible,Make it easier for both the x and y axes to be legible,,N/A,,,,,N/A,,,,,N/A,,,,Yes,Yes,Yes,"I think a great feature to have would be a selection of colors for comparison already available. The color selections would help not only maintain a color standard, but also create an easily selectable color palette that translates to grayscale well. This would assist beginner, intermediate, expert individuals and help support new labs or research groups who may enter the field.",862.55,91.33,,,,,,,,,,,,113.62,,,,229.8,,,,,,,,,,,,,59.38,,,,59.39,,,,,132.37,,,,,,,,,,,,,,,,16.12,,,,160.54,
