"","Tools","Plot type","Struggles","Proposed features"
"1","eeglab","ERP plot","errorbars","show the topoplot at the same time and indicate the electrodes used for the erp"
"2","eeglab","ERP plot","axes","click to edit"
"3","eeglab","ERP plot","plotting variance","easily switch b/w sem or confidence interval or std deviation"
"4","eeglab","ERP plot","adding the variance within condition, elements related to color preferences (changing the transparency of the variance, changing the colors for each condition), and customizing the legend.","an easier and straight-forward way to customize the plot (colors and legend)."
"5","eeglab","ERP plot","transparency","it is not available from the gui"
"6","eeglab","ERP plot","preprocessing (filtering and removing artifacts)","-"
"7","eeglab","ERP plot","changing size of ticks and labels","easily computing differences between conditions and displaying them in this way; changing size of ticks and labels"
"8","eeglab","ERP plot","between groups/conditions plotting (when are both)","error bars"
"9","eeglab","ERP plot","-","add meta data bout the number of epochs, channel/electrode site, area under the curve, local/max values"
"10","eeglab","ERP plot","fine adjustments like color from gui","-"
"11","eeglab","ERP plot","-","to do it automatically"
"12","eeglab","ERP plot","plotting error bars","possibility to choose sd and ci"
"13","eeglab","ERP plot","syncronisation of topoplot and erp plot","-"
"14","eeglab","ERP plot","changing the appearance of the plot, colors, length","more easily modifying, adding, and chinging the plot"
"15","eeglab","ERP plot","ica","-"
"16","eeglab, brainstorm","ERP plot","aesthetics","-"
"17","custom eeglab","ERP plot","error band","statistical results"
"18","custom eeglab","ERP plot","aesthetic features - line thickness, axes limits etc.","-"
"19","custom eeglab","ERP plot","errorbars (slightly)","-"
"20","eeglab, erplab","ERP plot","little control over the plot features","better control possibilities"
"21","eeglab","ERP plot","the confidence interval. i typically use the ciplot function, but it would be handy if this is caluclated from the data.","automatically calculating the confidence interval.
clicking/highlichting a timepoint/range which then shows the topography"
"22","eeglab, matlab","ERP plot","-","scalability"
"23","eeglab, plotly","ERP plot","-","scalp voltage for each condition at the p1,n1, p300"
"24","eeglab, unfold","ERP plot","confidence intervals","-"
"25","eeglab,makie","ERP plot","-","while plotting via code was comparatively easy, a gui for initial exploration would be nice."
"26","matlab, eeglab","ERP plot","shaded area","easier application of shaded area"
"27","eeglab","Butterfly plot","y-axis scaling can be annoying if one of the electrodes has artifacts / very large amplitude.","-"
"28","eeglab","Butterfly plot","good colours","good colours"
"29","eeglab","Butterfly plot","getting a useful color scheme is extra work","-"
"30","custom eeglab","Butterfly plot","nice colors","picking time points to show topography"
"31","eeglab","Butterfly plot","-","way to sort channels -- so you can easily select which chans to display even after it has been plotted"
"32","eeglab","Butterfly plot","-","graying out all channels except the one hovered on, visualizing dispersion only for the one hovered on"
"33","custom eeglab","Butterfly plot","color/line features for visibility","gfp"
"34","eeglab","Butterfly plot","-","channel selection , add scalp topography (instant or averaged over selected time),"
"35","eeglab, matlab","Butterfly plot","-","scalability"
"36","custom eeglab","Topoplot","not too hard... but have to remember to deselect the eye channels!! making the .ced file is probably the hardest part (electrode location file)","a built in way to edit the electrode location file -- to deselect bad chans/unwanted chans"
"37","eeglab","Topoplot","plotting custom values eg differences or p-values etc","provide a variabl range of values to plot"
"38","eeglab","Topoplot","color scaling, specifically label electrodes","provide the possibility to choose the time window for the topoplot"
"39","eeglab","Topoplot","arranging topographies with other parts of the figure; choosing an appropriate colourmap and scale; adding a custom montage;","would be helpful to have in-built functions for batch processing multiple topographies to bring them to the same format"
"40","eeglab","Topoplot","make thee electrode labels readable and not too cluttered","no idea"
"41","eeglab","Topoplot","i'd prefer to make this kind of plots in r","in eeglab or fieldtrip the customization options are limited or too cumbersome"
"42","eeglab","Topoplot","-","maybe gif to make it time-freq domain"
"43","eeglab","Topoplot","change head border thickness","-"
"44","eeglab","Topoplot","not much","time scrolling from a side plot of an erp?"
