"","feedback"
"1","Not only 2-d, but also CIRCULAR colorbars please
They are essential to visualise ERPs as a function of any measure that is itself circular (e.g., the evoked response to a grating at different angles from 0' to 360')"
"2","I think a great feature to have would be a selection of colors for comparison already available. The color selections would help not only maintain a color standard, but also create an easily selectable color palette that translates to grayscale well. This would assist beginner, intermediate, expert individuals and help support new labs or research groups who may enter the field."
"3","Make it very modular. It will be useless to experts or people trying something new if you can't flexibly pick and choose the functionality you want and don't want"
"4","This is more of a tangential comment, but one issue for me is lack of awareness of how the different tools compare (e.g., in ease-of-use, available plot types, etc.). Sometimes I probably make custom plots that technically can be created with existing tools that I just don't know about. It would be cool to have some kind of comprehensive overview (e.g., review paper) of ERP plotting tools and plot types across packages, and their ease of use (perhaps grouped by programming language, since those typically determine which toolboxes people gravitate towards)."
"5","Easy creation of different types of error bars on ERP plots (shading)"
"6","I use R for most analyses and visualization but matlab/eeglab/Erplab (for now) for eeg preprocessing. I wish the transition between matlab and r/ggplot were smoother - I always have to do a lot of reformatting to get the output into a tidy format"
"7","Dynamic head montage videos"
"8","I feel like Matlab is not very easy to implement in public and interactive sharing of data, python is way easier for that. I would love for fieldtrip to come out in python one day so it's easier to share interactive plots"
"9","I think everything that relates to plotting ERPs + results of statistical tests on them combined can still be greatly improved!"
"10","Parula is my colormap of choice for ERP/timefrequency EEG plots. I like having 11 divisions on the color bar, rather than a continuous scale because I think it improves readability. But that's just a preference"
"11","Build them on TOP of existing tools.  Create the software and make bindings to the other tools."
"12","Positive up!!!!!!!   No excuses!"
"13","Customizability is key!"
"14","Minimize the need for coding, maximize the possibilities of doing everything through a GUI"
"15","Since the vast majority of literature consumption happens digitally, animated figures would be a great feature. These could illustrate the time-course and topography of an effect simultaneously."
"16","It would be great if it was open-source and made with Python, enabling the use of Pandas dataframes and integration with MNE-Python would be great as well."
"17","A gui based easier dynamic selection of conditions/triggers to plot during analysis would be useful."
"18","While I recognize the utility of coding to achieve flexible and unique graphs, an easy to use and intuitive GUI would be incredibly useful, not just for those that are not coders but also for those who have students who do not stay for long periods of time (eg Masters students) and do not have coding experience. And if that GUI could output useful ERP/EEG plots that can be easily modified for different visualizations, even better."
"19","My experience is that the axis labels and text are not publication quality level and that the font size cannot be chamged"
"20","Greater interactivity and very fast rendering would be good!"
"21","Improve ERPLab's zooming in on/maximizing one waveform function easier (doing that on ERPLab right now is INFURIATING and near impossible)"
"22","Please don't just build one function for one language, but have some common function that can be used similarly across different languanges (e.g., Matlab, Python, R)"
"23","Make everything customizable by scripting, with well defined (and sane) default values. Provide ample description for options. Easy way to combine plots of individual trials with averages (i.e. not having to iterate over trials by hand)."
"24","I think every open software should include easy ways to plot variability around average erps."
"25","I think making sure the plot is reproducible (eg. if GUI, have a code output), making sure the plot specifies the units of the scale, creating tools to encourage people to plot individual's ERP activity as well as grand average ERP"
"26","Color-blind friendly plot"
"27","Very detailed guide and support platform (type StackOverflow) where people can post and get answers. I feel this is missing for the tools I currently use and having a mailing list can be confusing. So maybe a platform such as Stack where people get credits if they answer questions and some sort of an incentive."
"28","For users who are unfamiliar with coding, an intuitive GUI will be most helpful"
"29","What could be helpful: a guide how to choose color palette to get insights from the data, in relation to ERP visualization (something like in Crameri et al., 2020:  https://www.nature.com/articles/s41467-020-19160-7); a trend to choose rather simple but intuitive datavis over a fancy one :-)"
"30","Plotting errors (SEM,CI) should be the default display! 
Plots should be easily modifiable through coding. Standards such as graph/line/label sizes should be accesseble, modifiable, and easy to save and apply for other plots.
Plotting the mean or individual channels/participants/conditions should be easily accessible."
